Name,ESI,Planetenklasse,Masse,Radius,Flux,Teq,Umlaufzeit,Entfernung,Status
Gliese-422b,"0,71",M-Warm Superterran,"≥ 9,9","1,4 – 2,0 – 2,6","0,68",231,"26,2",41,unconfirmed
K2-9b,"0,71",M-Warm Superterran," ? – 16,8 – 6,1","2,2","1,38",276,"18,4",359,confirmed
Kepler-1552b,"0,70",K-Warm Superterran," ? - 25,2 - 8,7","2,5","1,11",261,"184,8",2015,confirmed
GJ-3293c,"0,70",M-Warm Superterran,"≥ 8,6","1,4 – 1,9 – 2,5","0,60",223,"48,1",59,unconfirmed
Kepler-1540b,"0,70",K-Warm Superterran," ? - 26,2 - 9,0","2,5","0,92",250,"125,4",854,confirmed
Kepler-298d,"0,68",K-Warm Superterran," ? – 26,8 – 9,1","2,5","1,29",271,"77,5",1545,confirmed
KIC-5522786 b,"0,67",A-Warm Terran,"5,8 - 1,8 - 0,8","1,2","2,70",305,"757,2",,confirmed
Kepler-174d,"0,61",K-Warm Superterran," ? – 14,8 – 5,5","2,2","0,43",206,"247,4",1174,confirmed
Kepler-296f,"0,60",M-Warm Superterran,"28,7 – 6,1 – 2,5","1,8","0,34",194,"63,3",1692,confirmed
Gliese 682c,"0,59",M-Warm Superterran,"≥ 8,7","1,4 – 1,9 – 2,5","0,37",198,"57,3",17,unconfirmed
Wolf 1061d,"0,56",M-Warm Superterran,"≥ 5,2","1,2 - 1,7 - 2,2","0,28",182,"67,3",14,confirmed
KOI-4427b,"0,52",K-Warm Superterran,"38,5 – 7,4 – 3,0","1,8","0,24",179,"147,7",782,unconfirmed
