date,name,sex,country_killed,Local_Foreign,Type_death
3-Mar-13,Walid Jamil Amira,Male,Syria,Local,Crossfire/Combat-Related
24-Feb-13,Olivier Voisin,Male,Syria,Foreign,Crossfire/Combat-Related
17-Feb-13,Mohamed Saeed al-Hamwi,Male,Syria,Local,Crossfire/Combat-Related
15-Feb-13,Youssef Adel Bakri (Youssef Abu Jad),Male,Syria,Local,Crossfire/Combat-Related
31-Jan-13,Loay al-Nimir,Male,Syria,Local,Crossfire/Combat-Related
31-Jan-13,Issam Obeid,Male,Syria,Local,Crossfire/Combat-Related
31-Jan-13,Abdel Karim Nazir Ismail,Male,Syria,Local,Crossfire/Combat-Related
18-Jan-13,Mohamed al-Mesalma,Male,Syria,Local,Crossfire/Combat-Related
17-Jan-13,Yves Debay,Male,Syria,Foreign,Crossfire/Combat-Related
13-Jan-13,Bassem Fawaz al-Zabi,Male,Syria,Local,Crossfire/Combat-Related
4-Jan-13,Suhail Mahmoud al-Ali,Male,Syria,Local,Murder
21-Dec-12,Abd al-Karim al-Ezzo,Male,Syria,Local,Crossfire/Combat-Related
12-Dec-12,Al-Hosseiny Abou Deif,Male,Egypt,Local,Murder
4-Dec-12,Naji Asaad,Male,Syria,Local,Crossfire/Combat-Related
28-Nov-12,Mohamed Quratem,Male,Syria,Local,Crossfire/Combat-Related
25-Nov-12,Mohamed al-Khal,Male,Syria,Local,Crossfire/Combat-Related
21-Nov-12,Basel Tawfiq Youssef,Male,Syria,Local,Crossfire/Combat-Related
20-Nov-12,Hussam Salama,Male,Israel and the OPT,Local,Crossfire/Combat-Related
20-Nov-12,Mahmoud al-Kumi,Male,Israel and the OPT,Local,Crossfire/Combat-Related
19-Nov-12,Hozan Abdel Halim Mahmoud,Male,Syria,Local,Crossfire/Combat-Related
9-Nov-12,Ayham Mostafa Ghazzoul,Male,Syria,Local,Dangerous Assignment
3-Nov-12,Sattar Beheshti,Male,Iran,Local,Dangerous Assignment
10-Oct-12,Mohammed al-Ashram,Male,Syria,Local,Crossfire/Combat-Related
3-Oct-12,Mona al-Bakkour,Female,Syria,Local,Dangerous Assignment
26-Sep-12,Maya Naser,Male,Syria,Local,Crossfire/Combat-Related
19-Sep-12,Abdel Karim al-Oqda,Male,Syria,Local,Murder
16-Sep-12,Yusuf Ahmed Deeb,Male,Syria,Local,Crossfire/Combat-Related
9-Sep-12,Tamer al-Awam,Male,Syria,Local,Crossfire/Combat-Related
22-Aug-12,Mosaab al-Obdaallah,Male,Syria,Local,Murder
20-Aug-12,Mika Yamamoto,Female,Syria,Foreign,Crossfire/Combat-Related
11-Aug-12,Ali Abbas,Male,Syria,Local,Murder
10-Aug-12,Hatem Abu Yehia,Male,Syria,Local,Unknown
12-Jul-12,Ihsan al-Buni,Male,Syria,Local,Murder
27-Jun-12,Mohammad Shamma,Male,Syria,Local,Crossfire/Combat-Related
27-Jun-12,Sami Abu Amin,Male,Syria,Local,Crossfire/Combat-Related
28-May-12,Ahmed al-Assam,Male,Syria,Local,Crossfire/Combat-Related
28-May-12,Bassel al-Shahade,Male,Syria,Local,Crossfire/Combat-Related
27-May-12,Ahmed Adnan al-Ashlaq,Male,Syria,Local,Crossfire/Combat-Related
27-May-12,Lawrence Fahmy al-Naimi,Male,Syria,Local,Crossfire/Combat-Related
27-May-12,Ammar Mohamed Suhail Zado,Male,Syria,Local,Crossfire/Combat-Related
9-Apr-12,Ali Shaaban,Male,Lebanon,Local,Crossfire/Combat-Related
31-Mar-12,Ahmed Ismail Hassan,Male,Bahrain,Local,Dangerous Assignment
24-Feb-12,Anas al-Tarsha,Male,Syria,Local,Crossfire/Combat-Related
22-Feb-12,Rémi Ochlik,Male,Syria,Foreign,Crossfire/Combat-Related
22-Feb-12,Marie Colvin,Female,Syria,Foreign,Crossfire/Combat-Related
21-Feb-12,Rami al-Sayed,Male,Syria,Local,Crossfire/Combat-Related
4-Feb-12,Mazhar Tayyara,Male,Syria,Local,Crossfire/Combat-Related
11-Jan-12,Gilles Jacquier,Male,Syria,Foreign,Dangerous Assignment
27-Dec-11,Basil al-Sayed,Male,Syria,Local,Dangerous Assignment
20-Nov-11,Ferzat Jarban,Male,Syria,Local,Dangerous Assignment
9-Oct-11,Wael Mikhael,Male,Egypt,Local,Dangerous Assignment
24-Sep-11,Hassan al-Wadhaf,Male,Yemen,Local,Dangerous Assignment
8-Sep-11,Hadi al-Mahdi,Male,Iraq,Local,Murder
21-Jun-11,Alwan al-Ghorabi,Male,Iraq,Local,Dangerous Assignment
12-Apr-11,Karim Fakhrawi,Male,Bahrain,Local,Dangerous Assignment
9-Apr-11,Zakariya Rashid Hassan al-Ashiri,Male,Bahrain,Local,Dangerous Assignment
29-Mar-11,Sabah al-Bazi,Male,Iraq,Local,Dangerous Assignment
29-Mar-11,Muammar Khadir Abdelwahad,Male,Iraq,Local,Dangerous Assignment
18-Mar-11,Jamal al-Sharaabi,Male,Yemen,Local,Dangerous Assignment
24-Feb-11,Mohamed al-Hamdani,Male,Iraq,Local,Dangerous Assignment
4-Feb-11,Ahmad Mohamed Mahmoud,Male,Egypt,Local,Dangerous Assignment
12-Dec-10,Omar Rasim al-Qaysi,Male,Iraq,Local,Crossfire/Combat-Related
4-Oct-10,Tahrir Kadhim Jawad,Male,Iraq,Local,Murder
8-Sep-10,Safa al-Din Abdel Hamid,Male,Iraq,Local,Murder
7-Sep-10,Riad al-Saray,Male,Iraq,Local,Murder
3-Aug-10,Assaf Abu Rahal,Male,Lebanon,Local,Crossfire/Combat-Related
5-May-10,Sardasht Osman,Male,Iraq,Local,Murder
13-Feb-10,Muhammad al-Rabou'e,Male,Yemen,Local,Murder
19-Dec-09,Cihan Hayırsevener,Male,Turkey,Local,Murder
21-Oct-09,Orhan Hijran,Male,Iraq,Local,Crossfire/Combat-Related
31-May-09,Alaa Abdel-Wahab,Male,Iraq,Local,Crossfire/Combat-Related
18-Mar-09,Omidreza Mirsayafi,Male,Iran,Local,Dangerous Assignment
10-Mar-09,Suhaib Adnan,Male,Iraq,Local,Crossfire/Combat-Related
10-Mar-09,Haidar Hashim Suhail,Male,Iraq,Local,Crossfire/Combat-Related
7-Jan-09,Basil Ibrahim Faraj,Male,Israel and the OPT,Local,Crossfire/Combat-Related
13-Sep-08,Musab Mahmood al-Ezawi,Male,Iraq,Local,Murder
13-Sep-08,Ahmed Salim,Male,Iraq,Local,Murder
13-Sep-08,Ihab Mu'd,Male,Iraq,Local,Murder
21-Jul-08,Soran Mama Hama,Male,Iraq,Local,Murder
17-Jun-08,Mohieldin Al Naqeeb,Male,Iraq,Local,Murder
22-May-08,Haidar al-Hussein,Male,Iraq,Local,Murder
21-May-08,Wissam Ali Ouda,Male,Iraq,Local,Crossfire/Combat-Related
4-May-08,Sarwa Abdul-Wahab,Female,Iraq,Local,Murder
25-Apr-08,Jassim al-Batat,Male,Iraq,Local,Murder
16-Apr-08,Fadel Shana,Male,Israel and the OPT,Local,Crossfire/Combat-Related
27-Feb-08,Shihab al-Tamimi,Male,Iraq,Local,Murder
29-Jan-08,Alaa Abdul-Karim al-Fartoosi,Male,Iraq,Local,Crossfire/Combat-Related
